cod_ref	bib_ref	distigme_sampled	bar_sampled	background_sampled	distigme	distigme_loc	bar	bar_tot_length	bar_prot_length	gap	gap_loc	gap_length	trail	trail_length	high_dot	par_break	verse_break	Swan.ECM_avail	var_in_line	var_type	var_ref	notes
1489.C.30	Gal. 3:6	1		0	1	R	0			0			0		0	1	0	1	1	A1	Swanson.31	
1489.C.42	Gal. 3:8-9			1	0		0			0			0		1	0	1	1	1	O16; A1	Swanson.33	
1490.A.13	Gal. 3:11			1	0		0			0			0		0	0	0	1	1	O2	Swanson.34	
1490.B.18	Gal. 3:19	1		0	1	L	0			0			0		0	0	0	1	1	MC?	Swanson.39	
1491.A.22	Gal. 4:12		1	0	0		1	3	3	1	E	4	0		1	0	0	1	0			
1491.A.3	Gal. 4:7			1	0		0			0			0		1	0	0	1	1	O3	Swanson.49	
1491.A.33	Gal. 4:14b-15	1		0	1	L	0			1	E	4	0		1	0	1	1	1	R1	NA28.585	
1491.A.5	Gal. 4:7-8	1		0	1	L	0			0			0		1	1	1	1	1	A5;MC;R1	NA28.584	
1491.B.38	Gal. 4:26			1	0		0			0			0		0	0	0	1	1	O2	Swanson.60	
1491.C.11	Gal. 4:29-30			1	0		0			0			0		1	0	1	1	0			
1491.C.17	Gal. 4:30	1		0	1	R	0			0			0		1	0	1	1	1	R2	NA28.586	
1492.A.18	Gal. 5:12			1	0		0			0			0		0	0	0	1	1	R1; MC	NA28.587	
1492.A.41	Gal. 5:17			1	0		0			0			0		0	0	0	1	1	R1	NA28.587	
1492.B.27	Gal. 5:24			1	0		0			0			0		0	0	0	1	1	T7/MC; R1	Swanson.77	
1492.C.3	Gal. 6:2	1		0	1	L	0			0			0		0	0	0	1	1	MC/R1	NA28.588	
1493.B.12	Eph. 1:3-4	1		0	1	L	0			0			0		1	0	1	0	0			
1493.C.12	Eph. 1:12-13			1	0		0			0			0		1	M	1	0	1	R1	NA28.591	
1493.C.24	Eph. 1:14-15		1	0	0		1	4.5	2	1	E	3	0		1	1	1	0	0			
1494.A.33	Eph. 2:1-2	1		0	1	L	0			0			0		0	0	1	0	0			
1494.C.17	Eph. 2:14-15			1	0		0			0			0		1	0	1	0	0			
1494.C.29	Eph. 2:17	1		0	1	L	0			0			0		0	0	0	0	0			
1494.C.37	Eph. 2:19			1	0		0			0			0		0	0	0	0	1	R1	NA28.593	
1495.A.25	Eph. 3:5			1	0		0			0			0		0	0	0	0	0			
1495.A.40	Eph. 3:8a	1		0	1	L	0			0			0		0	0	0	0	0			
1495.B.37	Eph. 3:16-17			1	0		0			0			0		0	0	1	0	0			
1495.B.9	Eph. 3:9b-10	1		0	1	L	0			0			0		1	0	1	0	1	A3	NA28.594	
1495.C.15	Eph. 3:20-21			1	0		0			0			0		0	0	1	0	0			
1495.C.17	Eph. 3:21	1		0	1	R	0			0			0		0	0	0	0	1	O1	NA28.595	
1496.B.10	Eph. 4:17	1		0	1	R	0			0			0		0	1	0	0	0			
1496.B.13	Eph. 4:17b			1	0		0			0			0		0	0	0	0	1	A1	NA28.597	
